"","year","month","precipitation"
"1",1950,1,47
"2",1950,2,20
"3",1950,3,31
"4",1950,4,298
"5",1950,5,280
"6",1950,6,332
"7",1950,7,56
"8",1950,8,27
"9",1950,9,158
"10",1950,10,12
"11",1950,11,100
"12",1950,12,32
"13",1951,1,83
"14",1951,2,78
"15",1951,3,147
"16",1951,4,201
"17",1951,5,178
"18",1951,6,227
"19",1951,7,83
"20",1951,8,447
"21",1951,9,97
"22",1951,10,216
"23",1951,11,117
"24",1951,12,69
"25",1952,1,1
"26",1952,2,68
"27",1952,3,212
"28",1952,4,275
"29",1952,5,306
"30",1952,6,12
"31",1952,7,106
"32",1952,8,141
"33",1952,9,54
"34",1952,10,18
"35",1952,11,131
"36",1952,12,19
"37",1953,1,39
"38",1953,2,139
"39",1953,3,115
"40",1953,4,129
"41",1953,5,266
"42",1953,6,146
"43",1953,7,198
"44",1953,8,125
"45",1953,9,20
"46",1953,10,44
"47",1953,11,100
"48",1953,12,102
"49",1954,1,23
"50",1954,2,4
"51",1954,3,49
"52",1954,4,88
"53",1954,5,60
"54",1954,6,66
"55",1954,7,199
"56",1954,8,51
"57",1954,9,77
"58",1954,10,6
"59",1954,11,57
"60",1954,12,71
"61",1955,1,23
"62",1955,2,85
"63",1955,3,114
"64",1955,4,48
"65",1955,5,247
"66",1955,6,139
"67",1955,7,299
"68",1955,8,241
"69",1955,9,272
"70",1955,10,66
"71",1955,11,56
"72",1955,12,15
"73",1956,1,39
"74",1956,2,77
"75",1956,3,89
"76",1956,4,72
"77",1956,5,236
"78",1956,6,44
"79",1956,7,417
"80",1956,8,183
"81",1956,9,1
"82",1956,10,27
"83",1956,11,125
"84",1956,12,62
"85",1957,1,32
"86",1957,2,73
"87",1957,3,109
"88",1957,4,413
"89",1957,5,731
"90",1957,6,109
"91",1957,7,129
"92",1957,8,203
"93",1957,9,42
"94",1957,10,262
"95",1957,11,49
"96",1957,12,6
"97",1958,1,73
"98",1958,2,100
"99",1958,3,148
"100",1958,4,173
"101",1958,5,446
"102",1958,6,147
"103",1958,7,350
"104",1958,8,117
"105",1958,9,151
"106",1958,10,37
"107",1958,11,74
"108",1958,12,64
"109",1959,1,124
"110",1959,2,131
"111",1959,3,285
"112",1959,4,135
"113",1959,5,333
"114",1959,6,44
"115",1959,7,83
"116",1959,8,25
"117",1959,9,182
"118",1959,10,246
"119",1959,11,40
"120",1959,12,26
"121",1960,1,77
"122",1960,2,166
"123",1960,3,89
"124",1960,4,256
"125",1960,5,227
"126",1960,6,63
"127",1960,7,131
"128",1960,8,6
"129",1960,9,38
"130",1960,10,246
"131",1960,11,49
"132",1960,12,150
"133",1961,1,7
"134",1961,2,66
"135",1961,3,251
"136",1961,4,106
"137",1961,5,412
"138",1961,6,111
"139",1961,7,160
"140",1961,8,121
"141",1961,9,467
"142",1961,10,77
"143",1961,11,93
"144",1961,12,30
"145",1962,1,133
"146",1962,2,105
"147",1962,3,52
"148",1962,4,110
"149",1962,5,84
"150",1962,6,152
"151",1962,7,54
"152",1962,8,46
"153",1962,9,19
"154",1962,10,5
"155",1962,11,68
"156",1962,12,17
"157",1963,1,71
"158",1963,2,21
"159",1963,3,142
"160",1963,4,3
"161",1963,5,68
"162",1963,6,359
"163",1963,7,55
"164",1963,8,252
"165",1963,9,125
"166",1963,10,31
"167",1963,11,45
"168",1963,12,51
"169",1964,1,26
"170",1964,2,104
"171",1964,3,138
"172",1964,4,125
"173",1964,5,253
"174",1964,6,82
"175",1964,7,72
"176",1964,8,27
"177",1964,9,41
"178",1964,10,18
"179",1964,11,88
"180",1964,12,40
"181",1965,1,100
"182",1965,2,127
"183",1965,3,120
"184",1965,4,105
"185",1965,5,182
"186",1965,6,414
"187",1965,7,641
"188",1965,8,106
"189",1965,9,258
"190",1965,10,45
"191",1965,11,36
"192",1965,12,53
"193",1966,1,30
"194",1966,2,128
"195",1966,3,32
"196",1966,4,146
"197",1966,5,34
"198",1966,6,141
"199",1966,7,104
"200",1966,8,206
"201",1966,9,115
"202",1966,10,96
"203",1966,11,32
"204",1966,12,17
"205",1967,1,84
"206",1967,2,39
"207",1967,3,79
"208",1967,4,395
"209",1967,5,477
"210",1967,6,469
"211",1967,7,325
"212",1967,8,83
"213",1967,9,60
"214",1967,10,113
"215",1967,11,101
"216",1967,12,106
"217",1968,1,51
"218",1968,2,74
"219",1968,3,85
"220",1968,4,239
"221",1968,5,71
"222",1968,6,50
"223",1968,7,134
"224",1968,8,253
"225",1968,9,59
"226",1968,10,75
"227",1968,11,71
"228",1968,12,51
"229",1969,1,17
"230",1969,2,43
"231",1969,3,110
"232",1969,4,133
"233",1969,5,612
"234",1969,6,299
"235",1969,7,181
"236",1969,8,79
"237",1969,9,167
"238",1969,10,417
"239",1969,11,62
"240",1969,12,32
"241",1970,1,10
"242",1970,2,1
"243",1970,3,134
"244",1970,4,97
"245",1970,5,64
"246",1970,6,383
"247",1970,7,167
"248",1970,8,54
"249",1970,9,247
"250",1970,10,88
"251",1970,11,119
"252",1970,12,9
"253",1971,1,35
"254",1971,2,78
"255",1971,3,53
