PRCP       046037 18920101 20111231 TIBOOBURRA POST OFFICE                      
18920101 18920131     2.5
18920201 18920229    12.2
18920301 18920331     1.8
18920401 18920430     1.5
18920501 18920531    16.8
18920601 18920630     1.0
18920701 18920731    11.7
18920801 18920831     3.6
18920901 18920930    21.6
18921001 18921031    97.5
18921101 18921130     2.3
18921201 18921231     0.0
18930101 18930131     0.0
18930201 18930228     0.0
18930301 18930331     3.6
18930401 18930430    23.6
18930501 18930531    92.8
18930601 18930630    20.3
18930701 18930731     0.0
18930801 18930831    19.5
18930901 18930930     2.0
18931001 18931031     3.0
18931101 18931130    56.6
18931201 18931231     1.0
18940101 18940131    29.5
18940201 18940228    22.7
18940301 18940331     6.1
18940401 18940430    53.4
18940501 18940531     0.0
18940601 18940630    17.0
18940701 18940731     0.0
18940801 18940831    59.4
18940901 18940930    22.4
18941001 18941031    59.5
18941101 18941130     3.8
18941201 18941231    42.9
18950101 18950131    13.4
18950201 18950228    39.4
18950301 18950331     0.0
18950401 18950430     3.6
18950501 18950531    39.1
18950601 18950630    29.5
18950701 18950731     0.0
18950801 18950831     0.0
18950901 18950930     5.6
18951001 18951031     9.4
18951101 18951130    43.4
18951201 18951231     1.0
18960101 18960131     0.0
18960201 18960229    27.0
18960301 18960331     0.0
18960401 18960430    16.0
18960501 18960531     1.0
18960601 18960630     0.0
18960701 18960731    18.3
18960801 18960831     3.8
18960901 18960930     3.0
18961001 18961031     1.8
18961101 18961130    52.0
18961201 18961231    11.7
18970101 18970131    27.6
18970201 18970228    51.3
18970301 18970331     4.3
18970401 18970430     0.0
18970501 18970531     0.0
18970601 18970630    35.8
18970701 18970731     1.5
18970801 18970831     0.0
18970901 18970930    21.1
18971001 18971031    16.0
18971101 18971130     0.0
18971201 18971231     2.8
18980101 18980131     0.0
18980201 18980228   150.5
18980301 18980331    74.5
18980401 18980430     0.0
18980501 18980531     0.0
18980601 18980630    45.5
18980701 18980731     0.0
18980801 18980831    16.3
18980901 18980930     5.1
18981001 18981031     3.0
18981101 18981130     4.3
18981201 18981231     0.0
18990101 18990131     9.1
18990201 18990228    10.2
18990301 18990331    60.2
18990401 18990430     6.6
18990501 18990531     0.0
18990601 18990630    29.6
18990701 18990731    36.4
18990801 18990831     1.1
18990901 18990930     2.3
18991001 18991031     1.0
18991101 18991130    13.5
18991201 18991231     0.0
19000101 19000131    38.1
19000201 19000228     0.0
19000301 19000331    50.8
19000401 19000430     4.6
19000501 19000531     1.3
19000601 19000630     4.9
19000701 19000731     9.9
19000801 19000831     2.1
19000901 19000930     9.4
19001001 19001031    14.5
19001101 19001130     4.9
19001201 19001231     0.5
19010101 19010131     0.0
19010201 19010228     6.9
19010301 19010331    10.9
19010401 19010430     0.0
19010501 19010531     0.0
19010601 19010630     7.1
19010701 19010731    47.2
19010801 19010831    34.3
19010901 19010930     4.3
19011001 19011031     1.3
19011101 19011130     0.0
19011201 19011231     0.0
19020101 19020131     3.0
19020201 19020228     5.6
19020301 19020331     1.8
19020401 19020430     0.0
19020501 19020531     0.0
19020601 19020630     0.0
19020701 19020731     0.0
19020801 19020831     4.4
19020901 19020930    10.2
19021001 19021031    19.8
19021101 19021130    58.7
19021201 19021231    58.9
19030101 19030131     8.7
19030201 19030228     2.3
19030301 19030331     6.9
19030401 19030430    68.5
19030501 19030531     0.0
19030601 19030630     0.0
19030701 19030731     0.0
19030801 19030831    16.2
19030901 19030930    35.3
19031001 19031031     3.6
19031101 19031130    19.7
19031201 19031231    60.0
19040101 19040131    49.5
19040201 19040229    10.2
19040301 19040331     0.0
19040401 19040430     5.1
19040501 19040531     3.3
19040601 19040630     0.0
19040701 19040731    25.5
19040801 19040831     5.6
19040901 19040930    29.3
19041001 19041031    56.4
19041101 19041130     6.1
19041201 19041231    20.3
19050101 19050131     3.8
19050201 19050228     0.0
19050301 19050331     0.0
19050401 19050430     5.8
19050501 19050531     0.0
19050601 19050630     6.9
19050701 19050731    10.7
19050801 19050831    14.0
19050901 19050930     0.0
19051001 19051031     0.0
19051101 19051130     7.6
19051201 19051231     5.1
19060101 19060131     0.0
19060201 19060228    15.7
19060301 19060331    89.7
19060401 19060430     0.0
19060501 19060531     9.4
19060601 19060630    14.7
19060701 19060731     2.8
19060801 19060831     3.8
19060901 19060930    55.6
19061001 19061031     1.5
19061101 19061130     4.5
19061201 19061231    17.5
19070101 19070131   103.4
19070201 19070228     6.4
19070301 19070331    18.5
19070401 19070430     0.0
19070501 19070531     7.1
19070601 19070630    23.1
19070701 19070731     2.5
19070801 19070831    25.4
19070901 19070930     0.0
19071001 19071031     0.0
19071101 19071130    19.0
19071201 19071231    36.8
19080101 19080131     0.0
19080201 19080229     2.0
19080301 19080331    37.0
19080401 19080430    33.5
19080501 19080531     5.3
19080601 19080630    12.4
19080701 19080731     8.9
19080801 19080831    19.3
19080901 19080930     0.0
19081001 19081031    30.5
19081101 19081130    12.7
19081201 19081231    44.2
19090101 19090131     2.5
19090201 19090228     8.9
19090301 19090331     4.6
19090401 19090430     4.3
19090501 19090531    10.9
19090601 19090630    45.4
19090701 19090731     0.0
19090801 19090831    13.2
19090901 19090930     0.5
19091001 19091031     8.2
19091101 19091130     2.3
19091201 19091231     2.1
19100101 19100131    40.8
19100201 19100228     0.5
19100301 19100331    65.8
19100401 19100430    11.4
19100501 19100531    10.9
19100601 19100630    95.4
19100701 19100731     6.9
19100801 19100831     5.4
19100901 19100930     0.3
19101001 19101031    15.0
19101101 19101130    36.8
19101201 19101231    21.3
19110101 19110131    28.7
19110201 19110228   171.4
19110301 19110331     8.1
19110401 19110430     0.0
19110501 19110531    37.0
19110601 19110630     0.8
19110701 19110731    32.0
19110801 19110831     2.0
19110901 19110930     7.1
19111001 19111031     2.0
19111101 19111130    70.8
19111201 19111231    55.4
19120101 19120131     0.0
19120201 19120229    15.8
19120301 19120331     5.6
19120401 19120430     0.0
19120501 19120531     0.0
19120601 19120630    97.5
19120701 19120731    33.3
19120801 19120831     0.8
19120901 19120930     0.0
19121001 19121031     2.3
19121101 19121130    46.5
19121201 19121231    11.9
19130101 19130131     1.5
19130201 19130228    29.6
19130301 19130331    37.1
19130401 19130430    12.7
19130501 19130531     2.0
19130601 19130630     0.0
19130701 19130731     0.3
19130801 19130831     0.0
19130901 19130930    14.0
19131001 19131031     8.7
19131101 19131130     8.4
19131201 19131231    25.1
19140101 19140131    59.4
19140201 19140228     0.0
19140301 19140331    12.0
19140401 19140430    20.3
19140501 19140531    14.4
19140601 19140630    11.9
19140701 19140731     8.9
19140801 19140831     0.0
19140901 19140930     0.0
19141001 19141031    16.3
19141101 19141130     3.3
19141201 19141231    55.2
19150101 19150131     3.0
19150201 19150228     0.5
19150301 19150331     0.3
19150401 19150430     1.8
19150501 19150531    35.1
19150601 19150630     2.5
19150701 19150731     7.4
19150801 19150831     5.3
19150901 19150930    29.7
19151001 19151031     7.6
19151101 19151130     0.0
19151201 19151231    19.1
19160101 19160131    33.5
19160201 19160229     0.0
19160301 19160331     4.1
19160401 19160430     1.8
19160501 19160531     4.2
19160601 19160630    67.2
19160701 19160731    69.8
19160801 19160831     7.1
19160901 19160930    43.5
19161001 19161031   109.5
19161101 19161130    15.9
19161201 19161231    32.8
19170101 19170131    28.5
19170201 19170228   147.3
19170301 19170331     0.0
19170401 19170430     0.0
19170501 19170531     3.5
19170601 19170630    25.7
19170701 19170731    19.1
19170801 19170831    10.7
19170901 19170930    27.7
19171001 19171031    17.8
19171101 19171130    79.2
19171201 19171231    19.3
19180101 19180131    61.1
19180201 19180228     0.0
19180301 19180331     2.3
19180401 19180430    80.5
19180501 19180531    25.1
19180601 19180630     0.0
19180701 19180731     0.0
19180801 19180831    13.8
19180901 19180930     9.9
19181001 19181031     5.6
19181101 19181130     0.0
19181201 19181231     0.0
19190101 19190131     3.0
19190201 19190228     7.3
19190301 19190331     0.0
19190401 19190430     2.6
19190501 19190531    14.7
19190601 19190630     0.0
19190701 19190731     0.0
19190801 19190831    12.8
19190901 19190930     0.8
19191001 19191031     0.0
19191101 19191130     0.3
19191201 19191231     6.4
19200101 19200131     2.5
19200201 19200229     1.8
19200301 19200331     1.0
19200401 19200430     9.4
19200501 19200531     3.1
19200601 19200630   127.4
19200701 19200731    20.1
19200801 19200831    27.2
19200901 19200930    22.1
19201001 19201031     4.8
19201101 19201130    27.7
19201201 19201231    82.5
19210101 19210131     1.8
19210201 19210228     6.6
19210301 19210331    37.8
19210401 19210430     3.0
19210501 19210531    20.0
19210601 19210630    53.9
19210701 19210731     2.3
19210801 19210831    12.5
19210901 19210930    19.1
19211001 19211031     4.8
19211101 19211130    11.0
19211201 19211231    19.6
19220101 19220131     0.0
19220201 19220228    15.2
19220301 19220331     0.0
19220401 19220430     0.0
19220501 19220531     3.5
19220601 19220630     0.8
19220701 19220731     3.3
19220801 19220831     0.0
19220901 19220930     2.3
19221001 19221031    13.0
19221101 19221130     2.0
19221201 19221231    20.8
19230101 19230131     1.8
19230201 19230228    35.1
19230301 19230331     1.8
19230401 19230430    67.7
19230501 19230531    26.7
19230601 19230630    52.1
